key_mlbam,key_bbref,name_last,name_first
605152,bradlje01,Bradley,Jed
110625,barrima01,Barrios,Manuel
118336,martifr01,Martin,Frank
111603,brownby01,Browne,Byron
113051,darinro01,Daringer,Rolla
111880,caligfr01,Caligiuri,Fred
115817,hernali01,Hernández,Liván
818638,kellywh01,Kelly,W. H.
117263,korchst01,Korcheck,Steve
122501,snydepo01,Snyder,Pop
122925,suckto01,Suck,Tony
117218,knudsma01,Knudson,Mark
594987,sadleca02,Sadler,Casey
115724,helfha01,Helf,Hank
219594,ohkato01,Ohka,Tomo
121937,scottja01,Scott,Jack
117827,littlla01,Littleton,Larry
680911,milleow01,Miller,Owen
117740,lewisma01,Lewis,Mark
407900,asencmi01,Asencio,Miguel
669242,edmanto01,Edman,Tommy
123254,thomaki01,Thomas,Kite
430655,vasqujo01,Vásquez,Jorge
111361,bradyne01,Brady,Neal
121259,roachjo01,Roach,John
817576,reynobi02,Reynolds,Bill
703231,meekeja01,Meeker,James
660636,castidi02,Castillo,Diego
819385,gilesge01,Giles,George
116963,kellybi02,Kelly,Billy
111391,brannmi01,Brannock,Mike
110907,bergmal01,Bergman,Al
115869,hessege01,Hesselbacher,George
119255,montaed01,Montague,Ed
123267,thomabi01,Thomas,Bill
110478,bakerje02,Baker,Jesse
112952,currepe01,Curran,John
123168,tebeapu01,Tebeau,Pussy
114307,fordto01,Ford,Tom
122469,smithbi04,Smith,Bill
123087,tannele01,Tannehill,Lee
112443,coffmsl01,Coffman,George
112040,carrido01,Carrithers,Don
121605,saboal01,Sabo,Alex
124589,woulfji01,Woulfe,Jimmy
115153,griffto01,Griffith,Tommy
118729,mcgresl01,McGrew,Slim
113525,doyleje02,Doyle,Jeff
118394,maskrle01,Maskrey,Leech
817402,russefr01,Russell,Frank
818695,jonesa03,Jones,A.
122302,skopejo01,Skopec,John
816448,xiquele01,Xiqués,Leovigildo
818458,loganco01,Logan,Coley
137203,smithda05,Smith,Dan
570666,cessalu01,Cessa,Luis
111852,cacekcr01,Cacek,Craig
113320,dewalch01,Dewald,Charlie
123963,washihe01,Washington,Herb
123602,valdeju01,Valdez,Julio
118928,meledu01,Mele,Dutch
430963,penato03,Peña,Tony
123847,walkuji02,Walkup,Jim
124296,willida03,Williams,Davey
116533,jenseja01,Jensen,Jackie
642239,zastrro01,Zastryzny,Rob
117084,kingly01,King,Lynn
124568,woodske01,Woodson,Kerry
113526,doyleje01,Doyle,Jess
122044,shanagr01,Shanahan,Greg
122671,stanljo02,Stanley,Joe
457826,mastnto01,Mastny,Tom
676914,schneda03,Schneider,Davis
819103,haynele01,Haynes,Leroy
120783,pruesea01,Pruess,Earl
282562,pettyad01,Pettyjohn,Adam
434670,ramirha01,Ramírez,Hanley
121701,santred01,Santry,Edward
121198,riggejo01,Riggert,Joe
819113,hayesjo01,Hayes,Johnny
110472,bakerfl01,Baker,Floyd
819859,davisg04,Davis,G.
117951,lowfl01,Low,Fletcher
121564,russere01,Russell,Reb
642094,smithty01,Smith,Tyler
116497,jarviro01,Jarvis,Roy
819697,duffybi01,Duffy,Bill
816518,wilsoel01,Wilson,Elmer
111982,cardele01,Cárdenas,Leo
119805,nippeal01,Nipper,Al
118137,mageebi01,Magee,Bill
115849,herrihe01,Herring,Herb
114941,goochle01,Gooch,Lee
448609,sippto01,Sipp,Tony
346858,valener01,Valent,Eric
111399,brashki01,Brashear,Kitty
112566,conlojo01,Conlon,Jocko
117893,longje01,Long,Jeoff
119053,mileymi01,Miley,Mike
118173,mailsdu01,Mails,Duster
421684,snellch02,Snelling,Chris
150034,creekdo01,Creek,Doug
116617,johnsra03,Johnson,Randy
119193,mitchjo02,Mitchell,John
434705,repkoja01,Repko,Jason
227495,durritr01,Durrington,Trent
124538,woodjo03,Wood,Joe
446290,moskoda01,Moskos,Daniel
120848,quinnto01,Quinn,Tom
119205,mittera01,Mitterling,Ralph
122134,sherled01,Sherling,Ed
501869,taylogr01,Taylor,Graham
285064,vogelry01,Vogelsong,Ryan
117006,kepshku01,Kepshire,Kurt
460621,spearna01,Spears,Nate
702332,durbica01,Durbin,Caleb
666674,colined01,Colina,Edwar
132620,sadledo01,Sadler,Donnie
119257,montara01,Montalvo,Rafael
124645,yankoge01,Yankowski,George
506627,brownra99,Brown,Ray
121848,schnepe01,Schneider,Pete
596816,gomezro01,Gómez,Roberto
122363,smithpo01,Smith,Pop
124100,wertsjo01,Werts,Johnny
117162,klingjo02,Klinger,Joe
112438,cockmji01,Cockman,Jim
817255,simps02,Simpson,
116091,hollyed01,Holly,Ed
118140,maglisa01,Maglie,Sal
110525,bandoch01,Bando,Chris
120515,phillre01,Phillips,Red
701552,granian01,Granillo,Andre
122443,smithpe02,Smith,Pete
820711,anderbu02,Anderson,Bubbles
123056,swiglad01,Swigler,Ad
492661,mccalja99,McCallister,Jack
502593,petrija01,Petricka,Jake
118683,mcganam01,McGann,Ambrose
664180,hallma02,Hall,Matt
114369,foytapa01,Foytack,Paul
112157,cepedor01,Cepeda,Orlando
112365,clarkbo02,Clarke,William
621242,diazed04,Díaz,Edwin
400268,boscajc01,Boscán,J. C.
120053,o'roufr01,O'Rourke,Frank
670032,lopezni01,Lopez,Nicky
122587,spencve01,Spencer,Vern
820032,colemgi01,Coleman,Gilbert
816468,wrigh05,Wright,
110274,andrewa01,Andrews,Wally
114017,farrst01,Farr,Steve
119411,morrimi01,Morrison,Mike
115124,gremmed01,Gremminger,Ed
120958,rayfofl01,Rayford,Floyd
622270,mejiaal01,Mejia,Alex
113674,dwyerjo01,Dwyer,John
118750,mcilrva01,McIlree,Vance
115912,higgibo01,Higgins,Bob
117534,lattibi01,Lattimore,Bill
113220,delahji01,Delahanty,Jim
644428,scribtr01,Scribner,Troy
115312,haighed01,Haigh,Ed
120361,pellaed01,Pellagrini,Eddie
819240,hackesp01,Hackett,Speedball
664040,lowebr01,Lowe,Brandon
121935,scottji02,Scott,John
121080,rescixa01,Rescigno,Xavier
124590,wrighal01,Wright,Al
121840,schmicr01,Schmit,Crazy
518883,kiekhde01,Kiekhefer,Dean
124005,weaveji02,Weaver,Jim
122003,sentest01,Senteney,Steve
114004,fanweha01,Fanwell,Harry
596001,junisja01,Junis,Jakob
593576,nerishe01,Neris,Héctor
110726,beamal01,Beam,Alex
467092,ramoswi01,Ramos,Wilson
457456,reyesjo03,Reyes,Jo-Jo
657248,ottogl01,Otto,Glenn
115333,haliced01,Halicki,Ed
457574,pachejo01,Pacheco,Jordan
819687,duncajo01,Duncan,Joe
543744,satinjo01,Satin,Josh
124755,zeileto01,Zeile,Todd
121820,schlibi01,Schlitzer,Victor
502522,milleju02,Miller,Justin
445926,chaveje01,Chavez,Jesse
116199,howarch01,Howard,Chris
112126,castlro01,Castleton,Roy
112339,clarkbo04,Clark,Bobby
113285,derripa01,Derringer,Paul
451109,hayesbr01,Hayes,Brett
407870,pearcjo01,Pearce,Josh
696100,goodmhu01,Goodman,Hunter
117668,lemkema01,Lemke,Mark
819429,gardn03,Gardner,
115545,harriri01,Harrison,Rit
118985,merulma01,Merullo,Matt
117029,ketchfr01,Ketchum,Fred
117368,kurosry01,Kurosaki,Ryan
817020,taylobo02,Taylor,Bob
